text_snippet,label
"Experienced software engineer with expertise in Python, Java, and cloud architecture.",1
"Invoice number 12345 issued on March 15 for services rendered.",0
"Recent graduate seeking a marketing internship; skilled in social media campaigns and SEO strategies.",1
"Annual financial report for fiscal year 2024 prepared by the finance department.",0
"DevOps engineer with 5 years of experience in CI/CD, Docker, Kubernetes, and AWS.",1
"Research paper on machine learning optimization techniques for academic submission.",0
"Senior data analyst with strong SQL, Tableau, and R skills; seeking new opportunities.",1
"Meeting agenda for quarterly sales performance review.",0
"Project manager with PMP certification and 10 years of IT project leadership experience.",1
"Vendor contract agreement signed on June 1 for equipment procurement.",0
